Temperature,d33
0-200,0.5105413352
200-400,5.57
400-600,2.87976688
400-600,2.997930385
400-600,1.702541668
400-600,1.00844383
400-600,1.516877637
400-600,3.291159285
400-600,3.219449372
400-600,2.704676428
400-600,2.432494463
400-600,1.780590717
400-600,2.341792197
400-600,1.964150055
400-600,1.765832807
400-600,1.810131593
400-600,1.917721519
400-600,1.800025905
400-600,1.960680343
400-600,1.019704354
400-600,0.6491912634
400-600,3.403291615
400-600,3.662305911
400-600,2.426250344
400-600,2.144261127
400-600,1.750845976
400-600,1.734452666
400-600,1.796722957
400-600,1.800001619
400-600,3.057873284
400-600,2.763786845
400-600,2.440776571
400-600,1.408867049
400-600,1.520738811
400-600,3.559841788
400-600,3.600401019
400-600,3.365955127
400-600,2.353748939
400-600,1.776644323
400-600,2.319684308
400-600,2.350419313
400-600,2.194695284
400-600,1.960048152
400-600,1.914439598
400-600,1.8
400-600,3.5
400-600,3.4
200-400,2.748753539
200-400,4.053716834
200-400,4.60501591
200-400,4.804199133
200-400,5.051887856
200-400,5.153984917
0-200,1.38
400-600,6
400-600,37
0-200,2.3
0-200,3.974683544
200-400,5.57
0-200,3.31
200-400,3
0-200,1.2
200-400,5
200-400,1.8
200-400,3.008888889
200-400,3.72
0-200,3.7
0-200,3.433098592
0-200,0.8204225352
0-200,0.2
0-200,-0.9542253521
0-200,-4.4
0-200,-2.9
0-200,4.1
200-400,2.55
200-400,2.153958944
200-400,1.866568915
200-400,1.7
200-400,3.15
200-400,3.07
200-400,2.67
400-600,-3.5
200-400,2.368852459
200-400,2.475409836
200-400,3
400-600,6.9
200-400,2
0-200,0.32
0-200,0.56
0-200,2.15
0-200,5.92
400-600,5.08
400-600,5.24
200-400,4.87
200-400,3.44
400-600,5.4
400-600,5.5
200-400,-5.6
200-400,-6.323232323
200-400,-6.424242424
200-400,-5.737373737
200-400,-6.28
200-400,-6.76
200-400,-6.84
200-400,-6.38
200-400,-6.68
200-400,-6.24
0-200,0.07
0-200,0.7
0-200,0.71
0-200,1.59
0-200,1.141509434
0-200,0.5668202765
0-200,0.9250192012
0-200,0.7675691244
0-200,0.147609447
400-600,0.6409258619
400-600,0.79
400-600,0.6609347976
400-600,3.4
0-200,-4.684210526
0-200,-2.644736842
0-200,-0.3421052632
0-200,2.75
0-200,1.927631579
0-200,-4.453947368
0-200,-1.098684211
0-200,0.9078947371
0-200,3.407894737
0-200,3.342105263
0-200,-4.805460751
0-200,-5.180887372
0-200,-2.618771331
0-200,-0.09556313993
0-200,4.648464164
200-400,8.4
0-200,7.35
0-200,4.2
400-600,6.8
400-600,5.95
400-600,6
200-400,4.375
200-400,3.920454545
200-400,3.693181818
200-400,3.125
200-400,3.522727273
400-600,3.277694276
400-600,3.429134338
400-600,3.833001584
400-600,3.657309989
400-600,4.7
400-600,3.304870618
400-600,3.825242718
200-400,-4.5
200-400,-4
200-400,-0.2
200-400,2.75
200-400,4.05
200-400,4.6
200-400,4.8
200-400,5.05
200-400,5.15
400-600,3.98
400-600,-2.7
400-600,-2
400-600,3.1
400-600,4.31
400-600,4.3
400-600,-2.7
400-600,4.2
200-400,2.91
200-400,2.47
200-400,2.37
200-400,-3.4068
200-400,-3.7264
200-400,1.8224
200-400,-4.2908
200-400,-4.862
200-400,4.1412
200-400,-4.046
200-400,3.8
200-400,3.8
200-400,1.36
200-400,3.264
400-600,2.9
